Romplengte;Schofthoogte;Kruishoogte;Borstdiepte;Borstbreedte;Bekkenbreedte;Heupbreedte;Kruislengte;K;Zwartbont; Zwartblaard;Roodbont;Ras
161.9;130.2;132.4;69.9;43.8;49.7;54.3;52.4;1;1;0;0;1
160.1;130.7;132.5;68.8;41.7;47.8;52.6;50.9;2;1;0;0;1
169.1;135.8;138.4;73.6;46.8;52.5;57.6;55.0;1;1;0;0;1
167.1;135.5;138.0;72.0;44.5;51.2;55.9;54.3;2;1;0;0;1
168.7;137.0;139.2;74.2;45.9;51.5;57.0;54.3;1;1;0;0;1
165.7;136.2;138.3;72.2;43.7;50.1;55.2;53.4;2;1;0;0;1
165.5;135.8;137.3;73.5;46.0;52.2;57.0;55.1;1;1;0;0;1
163.2;134.0;135.7;71.4;43.0;49.8;54.8;51.6;2;1;0;0;1
166.1;133.5;135.5;72.8;47.1;52.6;57.7;54.2;1;0;1;0;2
164.8;132.5;135.6;71.8;44.4;51.3;55.7;53.6;2;0;1;0;2
164.2;127.8;129.9;70.6;45.5;49.1;54.8;53.2;1;0;0;1;3
162.9;128.3;130.7;70.7;43.3;47.9;53.3;52.0;2;0;0;1;3
